EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	18:13:41	0	0.0500	41.15342672729492	29.819019317626953	0.4416	0.6307	0.5195
2	18:15:03	0	0.0500	26.341765724182128	20.79892921447754	0.5144	0.5445	0.5290
3	18:16:24	1	0.0500	24.603218437194823	20.065040588378906	0.5511	0.4323	0.4845
4	18:17:43	0	0.0500	23.47208617401123	22.246644973754883	0.4632	0.6487	0.5405
5	18:19:04	1	0.0500	22.825898429870605	19.287494659423828	0.5753	0.4159	0.4828
6	18:20:24	0	0.0500	22.279704780578612	21.36089515686035	0.4760	0.6410	0.5463
7	18:21:44	1	0.0500	21.923683250427246	19.17086410522461	0.5829	0.4198	0.4881
8	18:23:03	2	0.0500	21.19392493438721	19.269916534423828	0.5242	0.5554	0.5393
9	18:24:22	0	0.0500	21.05515799713135	19.355844497680664	0.5086	0.5975	0.5494
10	18:25:43	1	0.0500	20.802823287963868	18.641773223876953	0.5798	0.4433	0.5024
11	18:27:02	0	0.0500	20.463586471557615	19.639022827148438	0.5128	0.6012	0.5535
12	18:28:22	0	0.0500	20.13330963897705	20.212873458862305	0.4911	0.6535	0.5608
13	18:29:43	1	0.0500	19.907122535705568	19.123275756835938	0.5183	0.5896	0.5516
14	18:31:03	2	0.0500	19.455306144714356	18.467443466186523	0.5652	0.4987	0.5298
15	18:32:21	3	0.0500	19.420939872741698	18.519330978393555	0.5880	0.4531	0.5118
16	18:33:40	4	0.0500	19.105207077026368	18.790403366088867	0.6040	0.3949	0.4776
17	18:34:58	5	0.0500	18.790786537170412	18.608993530273438	0.5757	0.4538	0.5075
18	18:36:18	1	0.0250	18.077894050598143	18.482458114624023	0.5581	0.5272	0.5422
19	18:37:35	2	0.0250	17.754631622314452	18.819761276245117	0.5441	0.5576	0.5508
20	18:38:53	3	0.0250	17.445379638671874	18.50419044494629	0.5715	0.5096	0.5388
21	18:40:12	4	0.0250	17.46677835845947	18.513811111450195	0.5678	0.4998	0.5316
22	18:41:31	0	0.0250	17.04621654510498	19.0540771484375	0.5394	0.5887	0.5630
23	18:42:50	1	0.0250	16.70438885498047	18.657211303710938	0.5551	0.5508	0.5529
24	18:44:09	2	0.0250	16.6509190826416	18.810346603393555	0.5687	0.5215	0.5440
25	18:45:27	3	0.0250	16.46741307067871	19.108949661254883	0.5389	0.5769	0.5572
26	18:46:46	4	0.0250	16.331722999572754	18.965425491333008	0.5441	0.5696	0.5566
27	18:48:03	5	0.0250	16.02873983001709	18.750774383544922	0.5708	0.5138	0.5408
28	18:49:21	1	0.0125	15.68671654510498	18.79002571105957	0.5633	0.5361	0.5494
29	18:50:39	2	0.0125	15.241751945495606	18.93619728088379	0.5787	0.4858	0.5282
30	18:51:58	3	0.0125	15.20328392791748	18.983938217163086	0.5791	0.5072	0.5408
31	18:53:15	4	0.0125	15.150991668701172	19.03887176513672	0.5616	0.5508	0.5562
32	18:54:34	5	0.0125	15.086944175720214	19.133228302001953	0.5512	0.5624	0.5567
33	18:55:53	1	0.0063	14.585456314086914	19.24226951599121	0.5553	0.5585	0.5569
34	18:57:12	2	0.0063	14.577694145202637	19.19613265991211	0.5684	0.5302	0.5487
35	18:58:32	3	0.0063	14.451423423767089	19.244029998779297	0.5667	0.5425	0.5543
36	18:59:50	4	0.0063	14.300419044494628	19.347280502319336	0.5615	0.5519	0.5567
37	19:01:09	5	0.0063	14.287050552368164	19.38259506225586	0.5549	0.5615	0.5582
38	19:02:29	1	0.0031	14.179925163269044	19.35161781311035	0.5562	0.5563	0.5562
39	19:03:46	2	0.0031	14.20980923461914	19.410585403442383	0.5571	0.5532	0.5552
40	19:05:03	3	0.0031	14.31268782043457	19.37566375732422	0.5588	0.5526	0.5557
41	19:06:22	4	0.0031	14.174152381896972	19.35727310180664	0.5656	0.5370	0.5509
42	19:07:40	5	0.0031	14.039776763916016	19.407684326171875	0.5580	0.5574	0.5577
43	19:08:58	1	0.0016	14.071784461975097	19.40091896057129	0.5581	0.5554	0.5568
44	19:10:17	2	0.0016	13.886460563659668	19.389991760253906	0.5627	0.5438	0.5531
45	19:11:34	3	0.0016	13.865060539245606	19.441864013671875	0.5617	0.5440	0.5527
46	19:12:53	4	0.0016	14.019836128234862	19.42828369140625	0.5615	0.5475	0.5544
47	19:14:11	5	0.0016	13.97392124938965	19.428077697753906	0.5616	0.5469	0.5542
48	19:15:29	1	0.0008	13.886790908813477	19.45446014404297	0.5616	0.5532	0.5574
49	19:16:47	2	0.0008	13.777021102905273	19.481792449951172	0.5600	0.5552	0.5576
50	19:18:05	3	0.0008	13.693014625549317	19.44040298461914	0.5624	0.5480	0.5551
51	19:19:24	4	0.0008	13.934800910949708	19.47308921813965	0.5580	0.5565	0.5572
52	19:20:42	5	0.0008	13.80952759552002	19.438982009887695	0.5615	0.5521	0.5568
53	19:22:00	1	0.0004	13.781869331359863	19.444416046142578	0.5617	0.5545	0.5581
54	19:23:18	2	0.0004	13.780948554992676	19.45587921142578	0.5612	0.5543	0.5577
55	19:24:37	3	0.0004	13.776391685485839	19.465911865234375	0.5618	0.5532	0.5575
56	19:25:56	4	0.0004	13.73836247253418	19.46135139465332	0.5636	0.5508	0.5572
57	19:27:14	5	0.0004	13.832804679870605	19.458999633789062	0.5631	0.5502	0.5566
58	19:28:33	1	0.0002	13.719395240783692	19.470603942871094	0.5623	0.5523	0.5573
59	19:29:51	2	0.0002	13.834371681213378	19.471616744995117	0.5626	0.5530	0.5578
60	19:31:10	3	0.0002	13.892976989746094	19.470232009887695	0.5620	0.5521	0.5570
61	19:32:28	4	0.0002	13.623113327026367	19.476804733276367	0.5620	0.5526	0.5573
62	19:33:46	5	0.0002	13.863313461303711	19.475299835205078	0.5619	0.5526	0.5572
