EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	15:10:53	0	0.0500	41.83798490142822	34.816673278808594	0.3997	0.6491	0.4947
2	15:12:22	0	0.0500	28.219228630065917	26.098041534423828	0.4354	0.6483	0.5209
3	15:13:50	1	0.0500	25.80908521270752	20.269149780273438	0.5451	0.4369	0.4850
4	15:15:16	0	0.0500	24.406543937683104	21.59706687927246	0.4682	0.6198	0.5335
5	15:16:43	1	0.0500	23.498674575805666	19.371917724609375	0.5415	0.5085	0.5245
6	15:18:09	0	0.0500	22.901001457214356	19.537134170532227	0.5178	0.5508	0.5338
7	15:19:37	0	0.0500	22.499065620422364	20.895551681518555	0.4787	0.6336	0.5454
8	15:21:05	1	0.0500	21.984135215759277	22.51483726501465	0.4475	0.6908	0.5431
9	15:22:31	2	0.0500	21.578596549987793	18.92359733581543	0.5279	0.5370	0.5324
10	15:23:57	0	0.0500	21.43699895477295	19.581512451171875	0.5020	0.6194	0.5545
11	15:25:25	1	0.0500	21.0615850982666	18.738508224487305	0.5225	0.5740	0.5471
12	15:26:51	2	0.0500	20.8287801361084	18.691238403320312	0.6158	0.4012	0.4859
13	15:28:17	3	0.0500	20.81878035736084	18.86268424987793	0.5233	0.5867	0.5532
14	15:29:44	4	0.0500	20.41656095123291	18.77075958251953	0.5166	0.5951	0.5531
15	15:31:09	0	0.0500	20.38340718841553	18.55327606201172	0.5347	0.5775	0.5553
16	15:32:35	0	0.0500	20.084114852905273	20.38461685180664	0.4798	0.6827	0.5636
17	15:34:03	1	0.0500	19.8579436340332	18.180160522460938	0.5649	0.5201	0.5416
18	15:35:29	2	0.0500	19.90519659423828	18.277700424194336	0.5450	0.5686	0.5565
19	15:36:55	3	0.0500	19.494988014221192	18.379018783569336	0.5446	0.5753	0.5595
20	15:38:21	4	0.0500	19.42598762512207	18.062557220458984	0.5602	0.5414	0.5506
21	15:39:46	0	0.0500	19.24842315673828	18.450551986694336	0.5290	0.6167	0.5695
22	15:41:14	1	0.0500	18.97216056060791	18.241695404052734	0.5605	0.5390	0.5495
23	15:42:41	2	0.0500	18.890176879882812	18.52881622314453	0.5510	0.5561	0.5535
24	15:44:06	3	0.0500	18.81405979156494	18.71400260925293	0.5297	0.5964	0.5610
25	15:45:31	0	0.0500	18.605732276916505	20.119892120361328	0.4963	0.6686	0.5697
26	15:47:00	0	0.0500	18.473927421569826	19.00088119506836	0.5155	0.6393	0.5707
27	15:48:27	0	0.0500	18.361107849121094	18.955018997192383	0.5118	0.6450	0.5707
28	15:49:54	1	0.0500	18.20854034423828	19.085758209228516	0.5176	0.6264	0.5668
29	15:51:18	2	0.0500	17.955245086669922	18.768659591674805	0.5337	0.6058	0.5674
30	15:52:44	3	0.0500	17.889007133483886	18.572071075439453	0.5452	0.5762	0.5603
31	15:54:09	4	0.0500	17.60895696258545	18.75704002380371	0.5283	0.6148	0.5683
32	15:55:34	5	0.0500	17.61627938079834	19.116716384887695	0.5177	0.6248	0.5662
33	15:56:58	1	0.0250	17.16449122619629	18.943378448486328	0.5440	0.5880	0.5651
34	15:58:24	2	0.0250	16.945911041259766	18.843975067138672	0.5403	0.5948	0.5662
35	15:59:48	3	0.0250	16.558116775512694	18.86598777770996	0.5486	0.5653	0.5568
36	16:01:13	4	0.0250	16.407504875183104	19.244705200195312	0.5265	0.6137	0.5667
37	16:02:38	5	0.0250	16.380691589355468	18.93947982788086	0.5461	0.5872	0.5659
38	16:04:04	1	0.0125	15.967560310363769	18.943737030029297	0.5525	0.5740	0.5631
39	16:05:29	0	0.0125	15.94978490447998	19.44817543029785	0.5369	0.6108	0.5715
40	16:06:57	0	0.0125	15.96476789855957	19.526538848876953	0.5299	0.6209	0.5718
41	16:08:24	1	0.0125	15.682172332763672	19.34406852722168	0.5399	0.6045	0.5704
42	16:09:48	2	0.0125	15.907104484558106	19.061399459838867	0.5542	0.5653	0.5597
43	16:11:13	3	0.0125	15.636463409423827	19.196292877197266	0.5503	0.5716	0.5607
