Knowledge B-KEY B-KEY
management I-KEY I-KEY
The O O
article O O
defines O O
knowledge B-KEY B-KEY
management I-KEY I-KEY
, O O
discusses O O
its O O
role O O
, O O
and O O
describes O O
its O O
functions O O
. O O
It O O
also O O
explains O O
the O O
principles O O
of O O
knowledge B-KEY B-KEY
management I-KEY I-KEY
, O O
enumerates O O
the O O
strategies O O
involved O O
in O O
knowledge B-KEY B-KEY
management I-KEY I-KEY
, O O
and O O
traces O O
its O O
history O O
in O O
brief O O
. O O
The O O
focus O O
is O O
on O O
its O O
interdisciplinary O O
nature O O
. O O
The O O
steps O O
involved O O
in O O
knowledge B-KEY B-KEY
management I-KEY I-KEY
i.e. O O
identifying O O
, O O
collecting O O
and O O
capturing O O
, O O
selecting O O
, O O
organizing O O
and O O
storing O O
, O O
sharing O O
, O O
applying O O
, O O
and O O
creating O O
, O O
are O O
explained O O
. O O
The O O
pattern O O
of O O
knowledge B-KEY B-KEY
management I-KEY I-KEY
initiatives O O
is O O
also O O
considered O O

High-level O B-KEY
language O I-KEY
support O I-KEY
for O O
user-defined O B-KEY
reductions B-KEY I-KEY
The O O
optimized O O
handling O O
of O O
reductions B-KEY B-KEY
on O O
parallel B-KEY B-KEY
supercomputers I-KEY I-KEY
or O O
clusters B-KEY O
of I-KEY O
workstations I-KEY O
is O O
critical O O
to O O
high O B-KEY
performance O I-KEY
because O O
reductions B-KEY B-KEY
are O O
common O O
in O O
scientific O O
codes O O
and O O
a O O
potential O O
source O O
of O O
bottlenecks O O
. O O
Yet O O
in O O
many O O
high-level O O
languages O O
, O O
a O O
mechanism O O
for O O
writing O O
efficient O O
reductions B-KEY B-KEY
remains O O
surprisingly O O
absent O O
. O O
Further O O
, O O
when O O
such O O
mechanisms O O
do O O
exist O O
, O O
they O O
often O O
do O O
not O O
provide O O
the O O
flexibility O O
a O O
programmer O O
needs O O
to O O
achieve O O
a O O
desirable O O
level O O
of O O
performance O O
. O O
In O O
this O O
paper O O
, O O
we O O
present O O
a O O
new O O
language B-KEY O
construct I-KEY O
for O O
arbitrary O O
reductions B-KEY B-KEY
that O O
lets O O
a O O
programmer O O
achieve O O
a O O
level O O
of O O
performance O O
equal O O
to O O
that O O
achievable O O
with O O
